ARE;United Arab Emirates;Ras Al-Khaimah;;Emirate;Emirate;AE.RK;25.46292421;56.04359745
ARE;United Arab Emirates;Sharjah;;Emirate;Emirate;AE.SH;25.1704536;55.814988
ARE;United Arab Emirates;Umm al-Qaywayn;;Emirate;Emirate;AE.UQ;25.48700126;55.74216092
ARG;Argentina;Buenos Aires;Baires|Buenos Ayres;Provincia;Province;AR.BA;-36.68352662;-60.56597846
ARG;Argentina;Catamarca;;Provincia;Province;AR.CT;-27.33218321;-66.9524445
ARG;Argentina;Chaco;El Chaco|Presidente Juan Peron;Provincia;Province;AR.CC;-26.38737495;-60.76674184
ARG;Argentina;Chubut;;Provincia;Province;AR.CH;-43.78962611;-68.5232167
ARG;Argentina;Ciudad de Buenos Aires;BUENOS AIRES D.F.|Capital Federal|Distretto Federale|Distrito Federal|Federal Capital;Distrito Federal;Federal District;AR.DF;-34.61767799;-58.44443585
ARG;Argentina;Córdoba;Cordova;Provincia;Province;AR.CB;-32.1412181;-63.79954777
ARG;Argentina;Corrientes;;Provincia;Province;AR.CN;-28.77651979;-57.80585864
ARG;Argentina;Entre Ríos;Entre-Rios;Provincia;Province;AR.ER;-32.04603236;-59.20754035
ARG;Argentina;Formosa;;Provincia;Province;AR.FM;-24.89443471;-59.93434035
ARG;Argentina;Jujuy;;Provincia;Province;AR.JY;-23.31746423;-65.76219066
ARG;Argentina;La Pampa;El Pampa|Eva Perón;Provincia;Province;AR.LP;-37.13031093;-65.44833774
ARG;Argentina;La Rioja;;Provincia;Province;AR.LR;-29.67988556;-67.1782928
ARG;Argentina;Mendoza;;Provincia;Province;AR.MZ;-34.62865147;-68.58667905
ARG;Argentina;Misiones;Missões;Provincia;Province;AR.MN;-26.87487596;-54.64727701
ARG;Argentina;Neuquén;Neuquén;Provincia;Province;AR.NQ;-38.6356254;-70.1179789
ARG;Argentina;Río Negro;;Provincia;Province;AR.RN;-40.40681066;-67.22900144
ARG;Argentina;Salta;;Provincia;Province;AR.SA;-24.29608962;-64.81994139
ARG;Argentina;San Juan;;Provincia;Province;AR.SJ;-30.86424011;-68.87496045
ARG;Argentina;San Luis;;Provincia;Province;AR.SL;-33.76741265;-66.02992999
ARG;Argentina;Santa Cruz;;Provincia;Province;AR.SC;-48.81270671;-69.94144159
ARG;Argentina;Santa Fe;Santa Fé;Provincia;Province;AR.SF;-30.70353814;-60.95070867
ARG;Argentina;Santiago del Estero;;Provincia;Province;AR.SE;-27.78222843;-63.25847658
ARG;Argentina;Tierra del Fuego;Feuerland|Terra del Fuoco|Terre de Feu|Terra do Fogo|Tierra del Fuego|Antártida e Islas del Atlántico Sur;Territorio Nacional|Provincia;National Territory;AR.TF;-54.33202134;-67.40135145
ARG;Argentina;Tucumán;Tucumão;Provincia;Province;AR.TM;-26.94379196;-65.36569836
ARM;Armenia;Aragatsotn;Aragacot'n;Marz;Province;AM.AG;40.44025959;44.14147684
ARM;Armenia;Ararat;;Marz;Province;AM.AR;39.96320875;44.78730075
ARM;Armenia;Armavir;;Marz;Province;AM.AV;40.1446446;44.0268962
ARM;Armenia;Erevan;Yerevan;Kaghak;City;AM.ER;40.17856954;44.53576185
ARM;Armenia;Gegharkunik;Gelark'unik';Marz;Province;AM.GR;40.30673032;45.34278678
ARM;Armenia;Kotayk;Kotaik|Kotayk';Marz;Province;AM.KT;40.40804377;44.70493506
ARM;Armenia;Lori;Loṙi;Marz;Province;AM.LO;40.98175857;44.49234796
ARM;Armenia;Shirak;Širak;Marz;Province;AM.SH;40.82721792;43.86986835
ARM;Armenia;Syunik;Syunik';Marz;Province;AM.SU;39.34615376;46.17348186
ARM;Armenia;Tavush;Tavuš;Marz;Province;AM.TV;40.90995349;45.12972425
ARM;Armenia;Vayots Dzor;Vayoc'Jor;Marz;Province;AM.VD;39.77251784;45.45836629
ASM;American Samoa;Eastern;;District;District;AS.ET;-14.27498448;-170.6593122
ASM;American Samoa;Manu'a;;District;District;AS.MA;-14.22844895;-169.5038124
ASM;American Samoa;Unorganized;;District;District;AS.UU;-11.16724894;-170.98483
ASM;American Samoa;Western;;District;District;AS.WT;-14.32384488;-170.7687597
ATF;French Southern Territories;Îles Crozet;Crozet Islands;District;District;TF.CR;-46.35655091;51.61548425
ATF;French Southern Territories;Îles Éparses;Glorioso Islands;District;District;;-20.50310289;41.6628745
ATF;French Southern Territories;Îles Saint Paul et Amsterdam;St. Paul and Amsterdam islands;District;District;TF.AS;-37.96560727;77.55169721
ATF;French Southern Territories;Kerguelen;;District;District;TF.KG;-49.2992339;69.48472137
ATG;Antigua and Barbuda;Barbuda;Codrington;Dependency;Dependency;AG.BB;17.6339982;-61.79667733
ATG;Antigua and Barbuda;Redonda;;Dependency;Dependency;AG.RD;16.93850255;-62.34538783
ATG;Antigua and Barbuda;Saint George;Parham;Parish;Parish;AG.GE;17.1245468;-61.79351946
ATG;Antigua and Barbuda;Saint John;Saint John's;Parish;Parish;AG.JO;17.11280876;-61.83638186
ATG;Antigua and Barbuda;Saint Mary;Bolands;Parish;Parish;AG.MA;17.05178487;-61.85618081
ATG;Antigua and Barbuda;Saint Paul;Nelson's Dockyard;Parish;Parish;AG.PA;17.0333942;-61.77298293
ATG;Antigua and Barbuda;Saint Peter;Parham;Parish;Parish;AG.PE;17.09271026;-61.75995439
ATG;Antigua and Barbuda;Saint Philip;Carlisle;Parish;Parish;AG.PH;17.06544807;-61.70977952
AUS;Australia;Ashmore and Cartier Islands;;Territory;Territory;AU.AS;-12.26650447;123.0796307
AUS;Australia;Australian Capital Territory;;Territory;Territory;AU.AC;-35.4888065;149.0024863
AUS;Australia;Coral Sea Islands Territory;;Territory;Territory;AU.CR;-20.40581783;152.3983656
AUS;Australia;Jervis Bay Territory;;Territory;Territory;AU.JB;-35.1524736;150.6905223
AUS;Australia;New South Wales;;State;State;AU.NS;-32.16565906;147.0085368
AUS;Australia;Northern Territory;;Territory;Territory;AU.NT;-19.41482735;133.3655472
AUS;Australia;Queensland;;State;State;AU.QL;-22.56759196;144.5460786
AUS;Australia;South Australia;;State;State;AU.SA;-30.10814465;135.8314015
AUS;Australia;Tasmania;;State;State;AU.TS;-41.9685443;146.6261349
AUS;Australia;Victoria;;State;State;AU.VI;-36.85009222;144.3042888
AUS;Australia;Western Australia;;State;State;AU.WA;-25.4660083;122.1816948
